SOURCE_SYSTEM_CODE,SOURCE_FEED_CODE,STAGE_NAME,SOURCE_FILE_PATH,SOURCE_FILE_NAME_PATTERN,DESTINATION_SCHEMA_NAME,DESTINATION_TABLE_NAME,IS_ENABLED,FILE_FORMAT,DATE_INPUT_FORMAT,TIMESTAMP_INPUT_FORMAT,SKIP_ROW_ON_ERROR,DELETE_STAGE_BY_FILE_NAME,TIMEZONE
BIStatic,Global_Market,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_MARKET,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_RegionArea,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_REGION_AREA,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_Seniority,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_SENIORITY,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_SourceSystem,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_SOURCE_SYSTEM,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_VaRPercentile,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_VAR_PERCENTILE,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_VaRScaling,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_VAR_SCALING,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_VaRSubComponent,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_VAR_SUB_COMPONENT,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_VaRSubComponentAllVaRMapRegional,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_VAR_SUB_COMPONENT_ALL_VAR_MAP_REGIONAL,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_ValuationSourceOverrideAll,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_VALUATION_SOURCE_OVERRIDE_ALL,TRUE,CSV_FORMAT,DD/MM/YYYY,DD/MM/YYYY HH24:MI:SS.FF3,0,FALSE,Europe/London
BIStatic,Global_ValuationSourceTradeOverride,STAGING.EXTSTAGE_AZUREDL_RAPTORDATA,\\mfil\|:ENVIRONMENT:|dfs\fsroot\sfs-|:ENVIRONMENT:|\raptor\extracts\General\BIStatic,,STAGING,GLOBAL_VALUATION_SOURCE_TRADE_OVERRIDE,TRUE,CSV_FORMAT,YYYYMMDD,YYYYMMDD HH24:MI:SS.FF3,0,FALSE,Europe/London
